repository_name,payload_commit_msg
bootstrap,Update LICENSE just for test
bootstrap,Merge pull request #11209 from ZDroid/new_year Update license year
bootstrap,QA-5429 - Product naming change - licenses and source code
bootstrap,Change license from Apache to MIT
bootstrap,Fix newline in LICENSE.md
bootstrap,Added file headers with Apache license
bootstrap,Delete LICENSE
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Change license from Apache to MIT
bootstrap,Update LICENSE Just for test
bootstrap,Move license to the top of the file.
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Changed to dual-license text
bootstrap,License
bootstrap,Converted all files to MIT License
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update LICENSE
bootstrap,Update LICENSE just for test
bootstrap,"Move MIT license to top, link to pidfile recipe"
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,"Clear up license FAQs by using ""Bootstrap"" as noun instead of ""Twitter open source software"""
bootstrap,Merge pull request #12605 from ZDroid/license-object Use license object instead of licenses array
bootstrap,fixed License
bootstrap,Update LICENSE
bootstrap,add MIT license
bootstrap,Change license from Apache to MIT
bootstrap,Merge pull request #12317 from twbs/grunt-task-license clarify Grunt task licensing
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update LICENSE
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Improve license overall
bootstrap,Change license from Apache to MIT
bootstrap,Merge pull request #11105 from twbs/license-note Add notes about dual-licensing contributions before switching to MIT in v3.1
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Merge pull request #11105 from twbs/license-note Add notes about dual-licensing contributions before switching to MIT in v3.1
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Change license from Apache to MIT
bootstrap,Added README and LICENSE files.
bootstrap,Update LICENSE Actualización línea 1 V2
bootstrap,underp license maybe
bootstrap,Merge pull request #12219 from ZDroid/rn Rename docs/LICENSE-DOCS to docs/LICENSE
bootstrap,Changed license.
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,license added
bootstrap,Merge pull request #10693 from twbs/include-docs-license include a copy of the CC-BY 3.0 License that the docs are under
bootstrap,"Add tests target to scons; use lit.py - Import lit from llvm, and add LLVM license to readme - 'scons' will build, but not test 'scons test' will test 'scosn test VERBOSE' will print the errors (if any) - Add two tests: test-empty for empty files; currently fails usage, to make sure the usage info is printed"
bootstrap,Update LICENSE
bootstrap,"Move license FAQs to the docs, add link to side nav"
bootstrap,link to docs license
bootstrap,Change license from Apache to MIT
bootstrap,Credit author & include MIT license for PidFile class recipe
bootstrap,"use variablef or wells background-color, update docs for glyphicons license mention, update popovers to remove that thick border and make them look mo betta"
bootstrap,Changed license.
bootstrap,Update license
bootstrap,A note about the license change
bootstrap,Update LICENSE Just for test
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Add our own fonts. This closes #3 - add custom rules to .gitignore to make sure that licensed icons never get uploaded into remotes - css for licensed fonts are being uploaded though
bootstrap,Credit author & include MIT license for PidFile class recipe
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Change license from Apache to MIT
bootstrap,QA-5429 - Product naming change - licenses and source code
bootstrap,Clean up license info in README
bootstrap,chore(LICENSE): add MIT license Closes #101
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Merge pull request #11209 from ZDroid/new_year Update license year
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,Update LICENSE
bootstrap,Update LICENSE
bootstrap,Change license from Apache to MIT
bootstrap,Change license from Apache to MIT
bootstrap,Update the LICENSE to the actual APLv2
bootstrap,"Move MIT license to top, link to pidfile recipe"
